company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
1111,1111,شركة مجموعة تداول السعودية القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900170
6017,6017,شركة جاهز الدولية لتقنية نظم المعلومات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900187
1833,1833,شركة الموارد للقوى البشرية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900203
4082,4082,شركة المرابحة المرنة للتمويل,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900220
1834,1834,الشركة السعودية لحلول القوى البشرية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900236
4084,4084,شركة دراية المالية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900252
1835,1835,شركة تمكين للموارد البشرية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900268
4083,4083,الشركة المتحدة الدولية القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900285
1182,1182,شركة أملاك العالمية للتمويل,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900301
2310,2310,شركة الصحراء العالمية للبتروكيماويات,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537388
2350,2350,شركة كيان السعودية للبتروكيماويات,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537443
2001,2001,شركة كيمائيات الميثانول,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537468
2330,2330,الشركة المتقدمة للبتروكيماويات,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537490
2170,2170,شركة اللجين,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537511
2210,2210,شركة نماء للكيماويات,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537532
2020,2020,شركة سابك للمغذيات الزراعية,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537553
2250,2250,المجموعة السعودية للإستثمار الصناعي,تاسي,د.محمد بن سعود العصيمي,,,شرعي,2025-08-23T07:36:02.537573
